日期,开盘,最高,最低,收盘,涨跌点位,涨跌幅(%),振幅(%),换手率(%),成交量(手),成交额(元),主力净流入(元),主力净流入占比(%),超大单净流入(元),超大单占比(%),大单净流入(元),大单占比(%),中单净流入(元),中单占比(%),小单净流入(元),小单占比(%),主力净流入最大股,排名,领涨股票,领涨涨跌幅(%),总市值(万元),上涨家数,下跌家数
2025-12-03,1374.55,1376.14,1350.10,1361.91,-15.54,-1.13,1.89,3.01,5287260,4094533072,-37369760,-0.91,135657328,3.31,-173027088,-4.23,-151831936,-3.71,189201728,4.62,合百集团,44,合百集团,5.42,17829878,3,9
2025-12-02,1340.89,1382.37,1340.87,1377.45,23.92,1.77,3.07,2.51,4417498,3463171450,307084776,8.87,218577608,6.31,88507168,2.56,-92641488,-2.68,-214443296,-6.19,茂业商业,10,茂业商业,9.93,18042986,9,2
2025-12-01,1373.70,1379.05,1352.32,1353.53,-6.52,-0.48,1.97,2.76,4860320,3836239618,-317724768,-8.28,-220563808,-5.75,-97160960,-2.53,129273312,3.37,188451456,4.91,翠微股份,13,广百股份,1.45,17854059,5,6
2025-11-28,1329.90,1362.71,1308.29,1360.05,35.48,2.68,4.11,2.51,4423050,3651448786,57487104,1.57,-58997792,-1.62,116484896,3.19,1315968,0.04,-58803072,-1.61,小商品城,8,茂业商业,10.02,18025062,11,1
2025-11-27,1333.82,1348.43,1323.92,1324.57,17.63,1.35,1.88,1.18,2080660,1838720405,-10910902,-0.59,71815370,3.91,-82726272,-4.50,-29970800,-1.63,40881712,2.22,广百股份,32,茂业商业,10.04,17482897,3,9
2025-11-26,1283.09,1311.33,1278.26,1306.94,29.16,2.28,2.59,1.47,2584698,1993427859,129771804,6.51,122894636,6.16,6877168,0.34,-63548336,-3.19,-66223472,-3.32,茂业商业,4,茂业商业,9.96,17505560,11,1
2025-11-25,1260.58,1285.21,1254.13,1277.78,20.50,1.63,2.47,1.24,2187795,1788193668,-59302382,-3.32,53169890,2.97,-112472272,-6.29,-44572240,-2.49,103874624,5.81,茂业商业,22,茂业商业,10.00,17277042,10,2

