日期,开盘,最高,最低,收盘,涨跌点位,涨跌幅(%),成交量(手),成交额(千元)
2025-12-03,3894.16,3901.70,3869.95,3878.00,-19.71,-0.51,485617270,647166528
2025-12-02,3908.46,3908.77,3888.33,3897.71,-16.29,-0.42,455584494,627440672
2025-12-01,3894.21,3914.46,3890.95,3914.01,25.41,0.65,537554133,785658342
2025-11-28,3870.94,3888.89,3856.25,3888.60,13.34,0.34,449931973,645755815
2025-11-27,3867.20,3895.59,3864.13,3875.26,11.07,0.29,444021947,698519107
2025-11-26,3867.43,3879.92,3861.18,3864.18,-5.84,-0.15,457589755,701019872
2025-11-25,3850.57,3882.03,3845.14,3870.02,33.26,0.87,478727611,722788783

